"TIME"	"i"	"r"	"d"	"a"
2020-06-27	217	598	21	5840
2020-06-28	219	247	19	5793
2020-06-29	253	254	31	5761
2020-06-30	262	845	46	5132
2020-07-01	258	849	45	4496
2020-07-02	263	491	45	4223
2020-07-03	271	251	31	4212
2020-07-04	275	248	42	4197
2020-07-05	280	180	44	4253
2020-07-06	278	185	48	4298
2020-07-07	295	193	47	4353
2020-07-08	292	182	36	4427
2020-07-09	300	156	21	4550
2020-07-10	296	181	42	4623
2020-07-11	293	162	20	4734
2020-07-12	291	152	23	4850
2020-07-13	281	194	31	4906
2020-07-14	264	167	19	4984
2020-07-15	256	149	22	5069
2020-07-16	244	156	30	5127
2020-07-17	238	161	27	5177
2020-07-18	202	101	26	5252
2020-07-19	195	112	26	5309
2020-07-20	189	93	27	5378
2020-07-21	186	95	28	5441
2020-07-22	184	101	19	5505
2020-07-23	181	93	27	5566
2020-07-24	179	82	28	5635
2020-07-25	175	79	9	5722
2020-07-26	172	75	10	5809
2020-07-27	168	81	23	5873
2020-07-28	165	75	23	5940
2020-07-29	162	93	22	5987
2020-07-30	159	78	20	6048
2020-07-31	161	96	9	6104
2020-08-01	163	86	4	6177
2020-08-02	160	75	6	6256
2020-08-03	158	85	22	6307
2020-08-04	156	37	18	6408
2020-08-05	159	84	16	6467
2020-08-06	157	93	18	6513
2020-08-07	155	83	10	6575
2020-08-08	160	33	3	6699
2020-08-09	157	45	7	6804
2020-08-10	157	78	20	6863
2020-08-11	161	93	12	6919
2020-08-12	160	96	15	6968
2020-08-13	159	72	22	7033
2020-08-14	162	76	20	7099
2020-08-15	163	53	10	7199
2020-08-16	159	69	2	7287
2020-08-17	157	83	19	7342
2020-08-18	162	86	17	7401
2020-08-19	160	83	15	7463
2020-08-20	181	101	6	7537
2020-08-21	183	110	18	7592
2020-08-22	180	63	10	7699
2020-08-23	182	65	0	7816
2020-08-24	179	89	15	7891
2020-08-25	181	75	18	7979
2020-08-26	184	65	17	8081
2020-08-27	187	86	9	8173
2020-08-28	189	95	15	8252
2020-08-29	186	68	5	8365
2020-08-30	188	96	0	8457
2020-08-31	185	86	19	8537
2020-09-01	189	106	21	8599
2020-09-02	191	112	22	8656
2020-09-03	193	101	20	8728
2020-09-04	195	96	19	8808
2020-09-05	192	75	10	8915
2020-09-06	196	65	0	9046
2020-09-07	210	123	20	9113
2020-09-08	218	111	22	9198
2020-09-09	215	112	16	9285
2020-09-10	216	105	17	9379
2020-09-11	203	105	23	9454
2020-09-12	206	104	20	9536
2020-09-13	199	100	0	9635
2020-09-14	206	104	26	9711
2020-09-15	207	105	25	9788
2020-09-16	211	107	24	9868
2020-09-17	206	104	19	9951
2020-09-18	212	107	18	10038
2020-09-19	214	108	15	10129
2020-09-20	209	105	0	10233
2020-09-21	211	106	25	10313
2020-09-22	208	105	15	10401
2020-09-23	215	110	22	10484
2020-09-24	224	210	19	10479
2020-09-25	232	116	27	10568
2020-09-26	227	114	9	10672
2020-09-27	237	119	0	10790
2020-09-28	251	126	30	10885
2020-09-29	276	138	26	10997
2020-09-30	285	143	22	11117
2020-10-01	302	151	32	11236
2020-10-02	358	179	30	11385
2020-10-03	392	196	25	11556
2020-10-04	407	204	14	11745
2020-10-05	411	206	34	11916
2020-10-06	456	228	30	12114
2020-10-07	461	231	25	12319
2020-10-08	469	235	22	12531
2020-10-09	501	251	36	12745
2020-10-10	528	264	21	12988
2020-10-11	538	269	0	13257
2020-10-12	557	278	34	13502
2020-10-13	602	300	30	13774
2020-10-14	638	319	46	14047
2020-10-15	647	322	25	14347
2020-10-16	659	330	31	14645
2020-10-17	674	337	15	14967
2020-10-18	686	340	0	15313
2020-10-19	695	348	38	15622
2020-10-20	684	343	49	15914
2020-10-21	697	349	24	16238
2020-10-22	710	355	32	16561
2020-10-23	713	401	37	16836
2020-10-24	709	387	25	17133
2020-10-25	715	390	0	17458
2020-10-26	721	403	47	17729
2020-10-27	727	415	57	17984
2020-10-28	758	424	34	18284
2020-10-29	801	417	36	18632
2020-10-30	854	441	42	19003
2020-10-31	896	457	29	19413
2020-11-01	923	449	1	19886
2020-11-02	944	484	59	20287
2020-11-03	1031	527	66	20725
2020-11-04	1093	523	26	21269
2020-11-05	1171	563	54	21823
2020-11-06	1258	651	53	22377
2020-11-07	1331	605	31	23072
2020-11-08	1403	712	19	23744
2020-11-09	1485	751	62	24416
2020-11-10	1574	780	74	25136
2020-11-11	1667	839	68	25896
2020-11-12	1756	912	61	26679
2020-11-13	1852	943	64	27524
2020-11-14	1944	937	41	28490
2020-11-15	2039	1070	0	29459
2020-11-16	2130	1098	69	30422
2020-11-17	2215	1168	71	31398
2020-11-18	2312	1201	72	32437
2020-11-19	2394	1229	63	33539
2020-11-20	2476	1275	70	34670
2020-11-21	2668	1335	57	35946
2020-11-22	2926	1449	20	37403
2020-11-23	3179	1628	80	38874
2020-11-24	3421	1769	85	40441
2020-11-25	3669	1862	79	42169
2020-11-26	3687	1898	63	43895
2020-11-27	3695	1991	70	45529
2020-11-28	3701	1835	62	47333
2020-11-29	3691	1830	20	49174
2020-11-30	3697	1890	85	50896
2020-12-01	3684	1873	82	52625
2020-12-02	3692	2940	69	53308
2020-12-03	3694	2437	57	54508
2020-12-04	3726	3117	58	55059
2020-12-05	3753	1903	47	56862
2020-12-06	3741	697	31	59875
2020-12-07	3734	1811	86	61712
2020-12-08	3761	1921	83	63469
2020-12-09	3774	1918	79	65246
2020-12-10	3779	2380	69	66576
2020-12-11	3776	2369	79	67904
2020-12-12	3768	2151	67	69454
2020-12-13	3771	1903	64	71258
2020-12-14	3765	1886	72	73065
2020-12-15	3758	3168	69	73586
2020-12-16	3763	3066	79	74204
2020-12-17	3757	3050	84	74827
2020-12-18	3754	3025	75	75481
2020-12-19	3759	2326	73	76841
2020-12-20	3752	1870	77	78646
2020-12-21	3760	1899	82	80425
2020-12-22	3749	2617	75	81482
2020-12-23	3756	2653	72	82513
2020-12-24	3751	3034	76	83154
2020-12-25	3755	3906	82	82921
2020-12-26	3761	3128	74	83480
2020-12-27	3748	2248	75	84905
2020-12-28	3757	2109	79	86474
2020-12-29	3764	4278	78	85882
2020-12-30	3758	3573	84	85983
2020-12-31	3746	3058	75	86596
2021-01-01	3742	945	76	89317
2021-01-02	3738	906	80	92069
2021-01-03	3657	1626	79	94021
2021-01-04	3649	1729	73	95868
2021-01-05	3341	1788	58	97363
2021-01-06	3005	1836	69	98463
2021-01-07	3017	1756	55	99669
2021-01-08	3006	1641	69	100965
2021-01-09	3010	2684	50	101241
2021-01-10	3004	1873	42	102330
2021-01-11	2731	1258	68	103735
2021-01-12	3003	3425	78	103235
2021-01-13	3041	3551	83	102642
2021-01-14	3094	3915	72	101749
2021-01-15	3253	3625	67	101310
2021-01-16	3316	3072	59	101495
2021-01-17	3287	1168	55	103559
2021-01-18	3281	2259	69	104512
2021-01-19	3347	2855	72	104932
2021-01-20	3112	4194	79	103771
2021-01-21	3104	4696	59	102120
2021-01-22	3056	4205	73	100898
2021-01-23	2929	2260	61	101506
2021-01-24	2116	899	59	102664
2021-01-25	1510	2422	58	101694
2021-01-26	1813	5795	70	97642
2021-01-27	2128	4124	69	95577
2021-01-28	2284	3628	51	94182
2021-01-29	2512	3409	64	93221
2021-01-30	2160	1437	47	93897
2021-01-31	1842	1273	53	94413
2021-02-01	1484	1924	65	93908
2021-02-02	1916	3627	55	92142
2021-02-03	1571	3153	53	90507
2021-02-04	1463	3012	38	88920
2021-02-05	1248	2472	45	87651
2021-02-06	1175	2339	39	86448
2021-02-07	1551	1090	41	86868
2021-02-08	1078	3739	61	84146
2021-02-09	1169	3589	54	81672
2021-02-10	1127	3333	61	79405
2021-02-11	1134	3446	58	77035
2021-02-12	1130	2678	52	75435
2021-02-13	1099	1545	55	74934
2021-02-14	1093	1497	49	74481
2021-02-15	1082	2931	48	72584
2021-02-16	1103	2882	37	70768
2021-02-17	1094	3234	42	68586
2021-02-18	1087	3676	47	65950
2021-02-19	1092	2696	52	64294
2021-02-20	996	2350	49	62891
2021-02-21	957	1018	47	62783
2021-02-22	913	1723	41	61932
2021-02-23	909	1490	37	61314
2021-02-24	911	2301	48	59876
2021-02-25	947	1667	40	59116
2021-02-26	951	2538	39	57490
2021-02-27	939	1228	38	57163
2021-02-28	943	1320	35	56751
2021-03-01	937	2659	49	54980
2021-03-02	962	2635	39	53268
2021-03-03	986	2609	48	51597
2021-03-04	983	2591	26	49963
2021-03-05	975	2750	39	48149
2021-03-06	968	1402	37	47678
2021-03-07	956	1411	43	47180
2021-03-08	941	1372	42	46707
2021-03-09	959	2749	52	44865
2021-03-10	961	2805	40	42981
2021-03-11	957	2861	46	41031
2021-03-12	943	2326	46	39602
2021-03-13	937	841	37	39661
2021-03-14	933	684	45	39865
2021-03-15	916	1174	42	39565
2021-03-16	927	997	30	39465
2021-03-17	918	2041	33	38309
2021-03-18	921	2027	38	37165
2021-03-19	899	1073	36	36955
2021-03-20	881	291	37	37508
2021-03-21	865	245	35	38093
2021-03-22	812	1363	42	37500
2021-03-23	807	705	35	37567
2021-03-24	804	1273	37	37061
2021-03-25	782	1615	36	36192
2021-03-26	749	1192	32	35717
2021-03-27	701	780	33	35605
2021-03-28	697	713	30	35559
2021-03-29	719	1061	36	35181
2021-03-30	715	978	37	34881
2021-03-31	710	1101	31	34459
2021-04-01	708	1037	29	34101
2021-04-02	717	1019	36	33763
2021-04-03	711	955	28	33491
2021-04-04	707	816	27	33355
2021-04-05	702	1342	31	32684
2021-04-06	705	939	36	32414
2021-04-07	695	938	33	32138
2021-04-08	703	929	30	31882
2021-04-09	699	953	31	31597
2021-04-10	694	68	19	32204
2021-04-11	706	252	34	32624
2021-04-12	701	1194	30	32101
2021-04-13	712	977	28	31808
2021-04-14	719	1456	27	31044
2021-04-15	704	419	30	31299
2021-04-16	701	746	32	31222
2021-04-17	695	163	29	31725
2021-04-18	692	332	26	32059
2021-04-19	687	1613	35	31098
2021-04-20	693	1171	34	30586
2021-04-21	682	906	35	30327
2021-04-22	694	1001	37	29983
2021-04-23	689	1012	39	29621
2021-04-24	701	973	28	29321
2021-04-25	706	834	37	29156
2021-04-26	712	972	38	28858
2021-04-27	723	1087	34	28460
2021-04-28	716	1040	27	28109
2021-04-29	725	1011	33	27790
2021-04-30	737	978	34	27515
2021-05-01	718	982	36	27215
2021-05-02	704	755	34	27130
2021-05-03	709	801	34	27004
2021-05-04	711	873	33	26809
2021-05-05	715	881	35	26608
2021-05-06	722	871	31	26428
2021-05-07	726	861	34	26259
2021-05-08	729	821	37	26130
2021-05-09	724	732	30	26092
2021-05-10	717	809	35	25965
2021-05-11	734	933	39	25727
2021-05-12	741	1042	31	25395
2021-05-13	739	1164	35	24935
2021-05-14	749	1676	34	23974
2021-05-15	767	1069	36	23636
2021-05-16	763	666	39	23694
2021-05-17	772	1032	43	23391
2021-05-18	784	1427	37	22711
2021-05-19	791	1501	40	21961
2021-05-20	815	1266	43	21467
2021-05-21	833	1327	35	20938
2021-05-22	842	414	40	21326
2021-05-23	851	116	38	22023
2021-05-24	844	1266	46	21555
2021-05-25	839	1161	39	21194
2021-05-26	836	1391	31	20608
2021-05-27	840	1172	33	20243
2021-05-28	846	1248	41	19800
2021-05-29	829	498	39	20092
2021-05-30	822	813	40	20061
2021-05-31	817	1249	38	19591
2021-06-01	828	1000	36	19383
2021-06-02	841	1239	39	18946
2021-06-03	834	1052	37	18691
2021-06-04	857	1103	41	18404
2021-06-05	861	897	43	18325
2021-06-06	854	889	40	18250
2021-06-07	846	1245	49	17802
2021-06-08	852	1631	48	16975
2021-06-09	859	1386	43	16405
2021-06-10	863	1084	45	16139
2021-06-11	867	1207	45	15754
2021-06-12	862	1092	48	15476
2021-06-13	865	959	48	15334
2021-06-14	902	913	53	15270
2021-06-15	927	1437	63	14697
2021-06-16	946	1757	61	13825
